wafer_id,mean,sd_within,standard_error,worst_site,shift_drop_worst,p_value,flagged
wf0125,599.5327692307693,8.69608714838504,2.4118606238004374,3,-1.1651474358973246,0.9832471821059908,False
wf0126,631.2800769230769,13.34636609381957,3.70161594556773,11,-2.2115897435899114,0.6643942226139739,False
wf0127,628.349923076923,10.825357842134203,3.0024140596200826,10,-1.6971602564103705,0.9048673945319385,False
wf0128,612.8750769230769,14.578524424997747,4.043355179610273,10,2.5193269230768465,0.5058271227370623,False
wf0129,619.3859230769231,9.646477979566251,2.675451614073876,13,-1.5379102564103277,0.9601165709014633,False
wf0130,644.7856923076923,12.506418428048692,3.4686563780567155,2,1.998192307692193,0.7616819614099495,False
wf0131,617.4737692307692,11.851357919058932,3.2869752816187066,8,1.4705192307692414,0.8265940159329487,False
wf0132,617.8244615384615,12.1072870042204,3.3579572384981113,12,-1.8318717948718586,0.8025410404797871,False
wf0133,635.7215384615384,13.01480712890374,3.609658034118208,1,2.488871794871784,0.704383835174113,False
wf0134,604.2068461538461,23.163794089937532,6.424480563504576,12,3.5756794871794,0.004742866087350855,False
wf0135,560.2502307692307,11.946539395391488,3.3133738734180445,6,2.154397435897522,0.8178523537948815,False
wf0136,629.2392307692307,15.622680516660418,4.332951974077799,5,-2.6372692307692205,0.37315169186393893,False
wf0137,622.1531538461538,11.870477060380747,3.2922779773401407,8,-2.105596153846136,0.8248576965597771,False
wf0138,622.7486153846153,10.664452388960717,2.9577869163955617,9,1.469782051281868,0.9144882762589346,False
wf0139,625.2543076923077,11.684468418835708,3.2406884623578303,2,1.6316410256409881,0.8413263817185008,False
wf0140,646.202,14.750402808059153,4.091025666015792,5,-3.065083333333405,0.48341047772313595,False
wf0141,579.5727692307693,9.842325717310985,2.7297700033525114,10,-1.3866474358974301,0.9532327556348136,False
wf0142,640.1303076923076,12.296958976271435,3.410562778555679,6,2.0281410256409345,0.7836149229648546,False
wf0143,622.3372307692306,11.27967071884818,3.1284177805505284,8,-1.779269230769387,0.873843901333752,False
wf0144,614.450076923077,10.641479999366751,2.951415521887794,12,1.667743589743509,0.9158047941686556,False
wf0145,626.5946923076923,8.834547030310578,2.4502624856371464,4,1.054025641025646,0.980792045597463,False
wf0146,641.6672307692307,52.65167102785668,14.602946125369156,11,-8.568435897435847,2.2814495243224924e-25,True
wf0147,647.5853846153847,13.000921637448515,3.6058068917007593,9,2.290134615384659,0.7060177010794901,False
wf0148,619.6051538461538,12.49608104464592,3.465789303755729,7,1.511237179487125,0.7627888691608439,False
wf0149,617.7543846153845,13.08839314391738,3.630067122601957,9,-1.7372820512821363,0.6956671419194245,False
wf0150,617.3520769230769,32.23104181908473,8.939282610794933,13,-4.314256410256348,1.7420216968189643e-07,True
wf0151,605.4136923076923,12.022604143755023,3.334470438839582,6,1.7460256410256534,0.8106920662159608,False
wf0152,666.6668461538461,40.96271724761059,11.361013647584087,13,5.491929487179505,7.756106374164356e-14,True
wf0153,697.2727692307691,15.40306277527213,4.2720409719564865,12,-2.1408141025642635,0.4001194265117755,False
wf0154,614.583923076923,13.129502392586067,3.6414687767535536,5,-2.07099358974358,0.6907561360409888,False
wf0155,658.7230769230771,15.317833781040635,4.248402702044342,1,-2.223006410256289,0.41075713168725686,False
wf0156,637.8273076923077,10.218631116614212,2.8341383427695677,1,-1.2946089743589937,0.9375727167361173,False
wf0157,627.7480769230768,10.570278610815175,2.93166780978726,11,-1.4227564102565111,0.9197957809194819,False
wf0158,655.3137692307694,15.825448261970594,4.38918962813365,1,3.2152692307694224,0.3488956632872768,False
wf0159,650.002923076923,8.04996184733753,2.232657708161868,4,1.3936730769231644,0.9915976322444475,False
